,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
0,female,group C,bachelor's degree,standard,incomplete,married,regularly,yes,3,school_bus,< 5,71,71,74
1,female,group C,some college,standard,incomplete,married,sometimes,yes,0,school_bus,5 - 10,69,90,88
2,female,group B,master's degree,standard,incomplete,single,sometimes,yes,4,school_bus,< 5,87,93,91
3,male,group A,associate's degree,free/reduced,incomplete,married,never,no,1,school_bus,5 - 10,45,56,42
4,male,group C,some college,standard,incomplete,married,sometimes,yes,0,school_bus,5 - 10,76,78,75
5,female,group B,associate's degree,standard,incomplete,married,regularly,yes,1,school_bus,5 - 10,73,84,79
6,female,group B,some college,standard,completed,widowed,never,no,1,private,5 - 10,85,93,89
7,male,group B,some college,free/reduced,incomplete,married,sometimes,yes,1,private,> 10,41,43,39
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,65,64,68
9,female,group B,high school,free/reduced,incomplete,married,regularly,yes,2,private,< 5,37,59,50
10,male,group C,associate's degree,standard,incomplete,married,sometimes,yes,1,private,5 - 10,58,54,52
11,male,group D,associate's degree,standard,incomplete,divorced,sometimes,yes,1,school_bus,5 - 10,40,52,43
12,female,group B,high school,standard,incomplete,married,regularly,no,1,private,5 - 10,66,82,74
13,male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,80,73,71
14,female,group A,master's degree,standard,incomplete,divorced,sometimes,yes,2,private,< 5,48,53,58
15,female,group C,some high school,standard,incomplete,married,sometimes,yes,0,private,5 - 10,69,75,78
16,male,group C,high school,standard,incomplete,married,sometimes,yes,0,school_bus,5 - 10,88,89,86
17,female,group B,some high school,free/reduced,incomplete,divorced,sometimes,yes,1,school_bus,5 - 10,18,32,28
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,5 - 10,46,42,47
19,female,group C,associate's degree,free/reduced,incomplete,married,never,yes,3,private,< 5,50,56,58
20,male,group D,high school,standard,incomplete,married,sometimes,yes,5,school_bus,5 - 10,66,69,63
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,5 - 10,65,75,70
22,male,group D,some college,standard,incomplete,married,never,yes,5,school_bus,5 - 10,42,53,51
23,female,group C,some high school,standard,incomplete,divorced,never,no,3,school_bus,5 - 10,66,71,71
24,male,group D,some college,free/reduced,completed,married,sometimes,yes,2,school_bus,5 - 10,74,71,80
25,male,group A,master's degree,free/reduced,incomplete,married,regularly,yes,1,school_bus,5 - 10,75,76,76
26,male,group B,some college,standard,incomplete,married,sometimes,yes,5,school_bus,< 5,66,53,53
27,female,group C,bachelor's degree,standard,incomplete,married,sometimes,yes,4,school_bus,> 10,69,70,76
28,male,group C,high school,standard,incomplete,married,sometimes,no,1,private,5 - 10,70,70,65
29,female,group D,some college,standard,incomplete,single,sometimes,yes,0,private,< 5,66,72,72
30,female,group B,some college,standard,incomplete,single,sometimes,yes,5,school_bus,5 - 10,63,65,61
31,female,group E,master's degree,free/reduced,incomplete,divorced,sometimes,yes,1,school_bus,5 - 10,56,73,66
32,male,group C,some college,standard,incomplete,married,sometimes,no,2,private,5 - 10,40,42,38
33,male,group E,some college,standard,incomplete,divorced,sometimes,yes,0,school_bus,5 - 10,97,87,82
34,male,group E,associate's degree,standard,completed,single,sometimes,no,2,school_bus,5 - 10,81,81,79
35,female,group D,associate's degree,standard,incomplete,married,regularly,no,2,private,5 - 10,76,82,85
36,female,group D,some high school,free/reduced,incomplete,married,regularly,yes,1,private,5 - 10,51,64,60
37,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,5 - 10,77,91,90
38,male,group B,associate's degree,free/reduced,incomplete,single,regularly,yes,5,school_bus,5 - 10,58,56,58
39,male,group C,associate's degree,free/reduced,incomplete,married,never,yes,0,school_bus,5 - 10,53,60,52
40,female,group C,associate's degree,standard,incomplete,divorced,regularly,no,1,school_bus,5 - 10,59,74,69
41,male,group B,some college,free/reduced,incomplete,married,regularly,yes,3,school_bus,5 - 10,60,65,67
42,female,group E,associate's degree,free/reduced,incomplete,married,sometimes,yes,5,school_bus,< 5,48,55,52
43,male,group B,associate's degree,standard,incomplete,single,sometimes,yes,3,school_bus,< 5,63,53,55
44,female,group C,high school,standard,incomplete,married,regularly,yes,2,private,5 - 10,67,72,77
45,male,group C,high school,standard,completed,married,sometimes,yes,3,school_bus,5 - 10,82,84,82
46,male,group E,some college,standard,incomplete,married,sometimes,no,3,school_bus,> 10,54,55,48
47,male,group C,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,76,68,68
48,male,group C,some college,standard,incomplete,divorced,regularly,yes,3,school_bus,> 10,56,45,43
49,male,group D,high school,standard,incomplete,single,sometimes,yes,2,school_bus,5 - 10,88,78,75
50,female,group C,some high school,free/reduced,completed,married,regularly,yes,2,private,> 10,75,86,90
51,female,group C,high school,free/reduced,incomplete,divorced,sometimes,yes,2,private,5 - 10,33,41,43
52,female,group E,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,> 10,84,86,87
53,male,group D,associate's degree,standard,incomplete,single,sometimes,no,2,private,5 - 10,52,55,49
54,male,group D,some college,standard,completed,married,regularly,no,1,private,> 10,61,60,60
55,female,group C,some high school,free/reduced,incomplete,single,regularly,yes,3,school_bus,> 10,0,17,10
56,male,group A,some high school,free/reduced,incomplete,married,sometimes,yes,2,school_bus,5 - 10,39,39,34
57,male,group A,associate's degree,free/reduced,incomplete,married,sometimes,yes,5,private,5 - 10,62,61,55
58,female,group D,some high school,standard,incomplete,married,sometimes,yes,0,school_bus,5 - 10,59,58,59
59,male,group B,some high school,standard,incomplete,married,never,yes,1,private,< 5,63,62,58
60,male,group D,some high school,free/reduced,incomplete,married,sometimes,yes,4,school_bus,5 - 10,45,37,37
61,female,group C,some college,standard,incomplete,married,regularly,no,3,school_bus,5 - 10,61,73,75
62,male,group B,associate's degree,free/reduced,incomplete,divorced,regularly,no,3,school_bus,5 - 10,62,58,57
63,female,group C,associate's degree,standard,incomplete,single,sometimes,yes,3,school_bus,5 - 10,39,64,57
64,male,group D,some college,standard,completed,divorced,sometimes,yes,3,private,> 10,64,55,64
65,female,group A,associate's degree,free/reduced,incomplete,single,regularly,yes,1,private,5 - 10,42,51,49
66,male,group C,some high school,free/reduced,incomplete,divorced,never,yes,3,school_bus,5 - 10,59,56,54
67,male,group C,some high school,standard,incomplete,married,sometimes,yes,2,private,< 5,47,48,40
68,male,group B,associate's degree,free/reduced,incomplete,divorced,sometimes,no,2,school_bus,5 - 10,44,41,38
69,male,group E,some high school,standard,incomplete,married,sometimes,no,5,school_bus,5 - 10,28,25,21
70,male,group A,some college,standard,completed,married,regularly,yes,2,school_bus,5 - 10,82,79,83
71,female,group D,some high school,standard,completed,divorced,sometimes,yes,2,school_bus,> 10,62,75,73
72,female,group E,master's degree,standard,incomplete,divorced,never,yes,1,school_bus,5 - 10,60,68,68
73,female,group B,associate's degree,standard,incomplete,married,regularly,yes,0,private,> 10,49,50,52
74,male,group B,high school,free/reduced,incomplete,married,sometimes,yes,0,private,5 - 10,49,45,45
75,male,group A,some college,free/reduced,completed,married,sometimes,no,2,school_bus,5 - 10,50,47,54
76,male,group E,associate's degree,standard,incomplete,married,regularly,yes,0,private,5 - 10,74,64,64
77,male,group D,high school,free/reduced,incomplete,married,never,yes,3,private,5 - 10,40,38,33
78,female,group C,some college,standard,incomplete,divorced,sometimes,yes,0,private,5 - 10,73,80,82
79,female,group C,some college,free/reduced,incomplete,married,sometimes,yes,2,school_bus,< 5,73,81,86
80,female,group D,associate's degree,standard,incomplete,single,sometimes,yes,0,private,5 - 10,71,71,74
81,female,group A,some college,standard,incomplete,divorced,regularly,yes,3,school_bus,< 5,57,69,67
82,female,group D,some high school,standard,incomplete,single,sometimes,yes,2,private,> 10,75,87,83
83,male,group C,high school,free/reduced,incomplete,divorced,regularly,no,4,school_bus,5 - 10,27,34,36
84,male,group C,high school,standard,incomplete,divorced,sometimes,no,1,school_bus,< 5,68,77,69
85,male,group C,associate's degree,free/reduced,completed,married,regularly,no,3,private,> 10,45,46,52
86,female,group B,some college,standard,incomplete,married,regularly,yes,4,private,5 - 10,81,87,94
87,male,group B,some high school,standard,completed,married,regularly,yes,5,school_bus,5 - 10,63,65,61
88,female,group C,some college,standard,completed,married,never,yes,0,school_bus,< 5,59,69,66
89,female,group D,some college,free/reduced,incomplete,single,regularly,yes,2,school_bus,> 10,61,69,64
90,female,group D,bachelor's degree,standard,incomplete,married,regularly,yes,3,school_bus,< 5,64,66,62
91,male,group B,some college,standard,incomplete,married,sometimes,no,7,school_bus,5 - 10,79,67,67
92,male,group D,bachelor's degree,standard,completed,single,sometimes,no,1,private,5 - 10,68,74,74
93,female,group D,associate's degree,standard,incomplete,married,regularly,yes,3,school_bus,5 - 10,87,92,91
94,male,group B,high school,standard,completed,married,regularly,no,3,school_bus,5 - 10,61,44,48
95,male,group C,some college,standard,completed,married,regularly,yes,1,school_bus,> 10,100,88,94
96,female,group C,some college,standard,incomplete,married,sometimes,yes,0,school_bus,5 - 10,58,67,72
97,female,group D,master's degree,standard,incomplete,married,sometimes,no,3,private,5 - 10,87,100,100
98,male,group E,some college,standard,completed,single,sometimes,yes,0,school_bus,5 - 10,66,63,64
99,female,group B,associate's degree,free/reduced,incomplete,married,sometimes,yes,2,school_bus,5 - 10,52,76,70
100,female,group B,some high school,standard,incomplete,single,regularly,no,3,school_bus,5 - 10,72,64,73
101,female,group D,associate's degree,free/reduced,completed,single,sometimes,yes,4,school_bus,> 10,79,90,99
102,male,group C,high school,standard,incomplete,single,regularly,no,6,school_bus,5 - 10,63,55,50
103,male,group A,associate's degree,standard,incomplete,married,sometimes,yes,0,school_bus,5 - 10,54,53,47
104,female,group D,some college,standard,incomplete,married,never,yes,1,school_bus,< 5,47,56,51
105,female,group E,bachelor's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,98,99,100
106,male,group C,high school,standard,incomplete,married,sometimes,yes,4,private,5 - 10,84,77,74
107,female,group B,bachelor's degree,free/reduced,incomplete,single,never,no,1,school_bus,5 - 10,72,83,79
108,female,group D,bachelor's degree,standard,incomplete,married,never,no,2,private,5 - 10,75,80,77
109,female,group D,some high school,standard,incomplete,single,regularly,yes,0,private,> 10,54,64,63
110,female,group C,some college,standard,incomplete,divorced,sometimes,no,3,school_bus,5 - 10,55,69,65
111,female,group C,bachelor's degree,standard,completed,married,never,yes,1,school_bus,5 - 10,76,90,86
112,male,group B,associate's degree,standard,completed,married,sometimes,yes,3,school_bus,< 5,88,87,90
113,female,group C,some college,standard,completed,single,regularly,yes,1,school_bus,5 - 10,90,94,95
114,male,group D,high school,free/reduced,incomplete,married,sometimes,no,3,private,5 - 10,63,57,56
115,male,group E,some college,standard,incomplete,single,regularly,no,3,school_bus,< 5,82,79,73
116,female,group B,high school,standard,incomplete,single,never,yes,2,school_bus,> 10,86,94,85
117,male,group B,some college,standard,incomplete,married,sometimes,no,3,private,5 - 10,72,68,67
118,male,group D,some college,standard,incomplete,married,regularly,no,3,school_bus,< 5,64,76,74
119,male,group D,master's degree,standard,incomplete,single,never,yes,2,private,< 5,77,81,72
120,female,group A,bachelor's degree,standard,incomplete,married,regularly,yes,0,school_bus,5 - 10,52,49,52
121,male,group D,master's degree,standard,incomplete,single,sometimes,no,1,school_bus,< 5,87,84,82
122,male,group C,some high school,free/reduced,completed,single,regularly,yes,1,private,< 5,52,36,40
123,male,group C,some college,free/reduced,completed,married,regularly,yes,2,school_bus,5 - 10,89,75,71
